,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up
000050,0.19041770696640015,0.013836851343512535,0.350345641374588,0.7247034907341003,0.45923668146133423,0.2614596486091614,0.20425455830991268,0.7206963300704956
000055,0.02057352103292942,0.04447115585207939,0.6352037191390991,0.9008927345275879,0.344222754240036,0.05463612079620361,0.06504467688500881,0.3988588750362396
000056,0.051610659807920456,0.03878374025225639,0.9348326921463013,0.9299934506416321,0.013556635938584805,0.031222810968756676,0.09039440006017685,0.04477944690734148
000058,0.010061142034828663,0.00903728324919939,0.8703590035438538,0.9658508896827698,0.11957984417676926,0.025111788883805275,0.019098425284028053,0.14469163306057453
000059,0.009814352728426456,0.014757364057004452,0.9032124280929565,0.966798722743988,0.08697323501110077,0.018443942070007324,0.024571716785430908,0.1054171770811081
000060,0.08213180303573608,0.06618411839008331,0.590772271156311,0.676701545715332,0.3270958960056305,0.2571144104003906,0.1483159214258194,0.5842103064060211
000062,0.044455867260694504,0.04486192390322685,0.902977705001831,0.934045672416687,0.052566397935152054,0.02109239622950554,0.08931779116392136,0.07365879416465759
000063,0.36568915843963623,0.25841024518013,0.5423763394355774,0.5575904250144958,0.0919344574213028,0.18399931490421295,0.6240994036197662,0.27593377232551575
000065,0.01490503828972578,0.006785964593291283,0.9307484030723572,0.9519540071487427,0.05434666574001312,0.04126003012061119,0.021691002883017063,0.09560669586062431
000066,0.029931453987956047,0.04633248969912529,0.856516420841217,0.7938609719276428,0.11355209350585938,0.15980657935142517,0.07626394368708134,0.27335867285728455
000068,0.04095621034502983,0.019399315118789673,0.8102056384086609,0.8377869129180908,0.14883825182914734,0.1428137868642807,0.060355525463819504,0.29165203869342804
000069,0.07775629311800003,0.07161117345094681,0.8241331577301025,0.681264340877533,0.09811066091060638,0.2471245378255844,0.14936746656894684,0.3452351987361908
000070,0.3860114812850952,0.38794824481010437,0.5367833375930786,0.49854713678359985,0.07720515131950378,0.11350460350513458,0.7739597260951996,0.19070975482463837
000078,0.11203114688396454,0.13213056325912476,0.8069392442703247,0.7202304601669312,0.08102956414222717,0.14763890206813812,0.2441617101430893,0.2286684662103653
000088,0.009169010445475578,0.010116898454725742,0.9248021841049194,0.971696674823761,0.06602881103754044,0.018186328932642937,0.01928590890020132,0.08421513997018337
000089,0.007775281555950642,0.008691854774951935,0.9525684118270874,0.9626697301864624,0.03965623304247856,0.028638385236263275,0.016467136330902576,0.06829461827874184
000090,0.1174425408244133,0.044415999203920364,0.7573570609092712,0.8370910882949829,0.12520043551921844,0.11849290132522583,0.16185854002833366,0.24369333684444427
000096,0.011759118176996708,0.002083318307995796,0.949038565158844,0.9651396870613098,0.03920227661728859,0.032777104526758194,0.013842436484992504,0.07197938114404678
000150,0.008226528763771057,0.030547834932804108,0.7131142020225525,0.9141164422035217,0.27865922451019287,0.055335648357868195,0.038774363696575165,0.33399487286806107
000151,0.0033240641932934523,0.0012674946337938309,0.9523109197616577,0.8868430852890015,0.044364962726831436,0.11188947409391403,0.004591558827087283,0.15625443682074547
000156,0.012620278634130955,0.007117182947695255,0.9665006399154663,0.9583900570869446,0.020879032090306282,0.034492794424295425,0.01973746158182621,0.05537182651460171
000157,0.002094653435051441,0.0012780607212334871,0.9696152806282043,0.9717496037483215,0.028290022164583206,0.02697228454053402,0.0033727141562849283,0.055262306705117226
000158,0.014095081947743893,0.0016185323474928737,0.8748039603233337,0.9583225250244141,0.11110095679759979,0.040058985352516174,0.015713614295236766,0.15115994215011597
000159,0.06079598888754845,0.022755056619644165,0.8716847896575928,0.8895173668861389,0.0675191581249237,0.08772755414247513,0.08355104550719261,0.15524671226739883
000166,0.020532483235001564,0.0011761367786675692,0.9529354572296143,0.9866808652877808,0.02653200738132,0.012143049389123917,0.021708620013669133,0.038675056770443916
000333,0.005649551749229431,0.014933479949831963,0.8081172704696655,0.7489680051803589,0.18623317778110504,0.2360984832048416,0.020583031699061394,0.42233166098594666
000338,0.019283870235085487,0.0003251232556067407,0.9729423522949219,0.944048285484314,0.007773738354444504,0.055626656860113144,0.019608993490692228,0.06340039521455765
